file_symbol,Start,End,Period,Start Value,Min Value,Max Value,End Value,Total Return [%],Benchmark Return [%],Total Time Exposure [%],Max Gross Exposure [%],Max Drawdown [%],Max Drawdown Duration,Total Orders,Total Fees Paid,Total Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,symbol
mosrain-orders_BTCUSDT,2024-01-11 00:00:00+00:00,2024-02-18 00:00:00+00:00,38 days 02:15:00,14161.5048,13668.694682323268,14242.910425954557,13674.728443193724,-3.4373208474729062,11.061676310645762,90.70276182663385,1028.5924977337788,4.031589938141483,34 days 12:45:00,8,0.0,6,0.0,-0.1010287551736618,-1.3042869477958503,,-0.5255719216670731,,6 days 19:54:00,0.0,-97.41488754399708,-3.2210324429201806,-7.076384006907729,0.447394577979687,-3.5009655794659653,BTCUSDT
mosrain-orders_ETHUSDT,2024-01-10 00:00:00+00:00,2024-02-02 00:00:00+00:00,23 days 03:45:00,9259.310300000001,7601.344272991526,9287.0193,7979.260573952158,-13.8244608353588,-2.6090516913885087,78.54251012145748,1232.6663108778378,18.15087244417026,22 days 10:30:00,14,0.0,9,50.0,0.6914805624482978,-8.575212625061832,0.2983784863857207,-2.67152015269667,1 days 00:26:15,3 days 07:26:15,0.02387658913988411,-161.13295998781268,-3.807854214938186,-4.989214567597136,0.707630873335973,-4.705270595670646,ETHUSDT
Damp-LTC-Visor-orders_ETHUSDT,2024-02-13 00:00:00+00:00,2024-02-20 23:45:00+00:00,8 days 04:30:00,22978.5604,18011.804399999994,29522.10440000001,29172.856400000044,26.95684974242358,12.565153755395242,26.84478371501272,1248.1750468043065,28.244935727368333,4 days 19:00:00,18,0.0,9,66.66666666666666,2.3904143272613485,-1.674709812638095,1.9503535008101953,-1.309179858795124,0 days 15:57:30,0 days 01:50:00,21.280973335428705,688.2551111111146,5.502427161518626,189829.00933125798,1.2379379367148478,8.62617693646831,ETHUSDT
Back-Cap-Octopus-orders_BTCUSDT,2023-11-29 00:00:00+00:00,2024-02-14 00:00:00+00:00,78 days 20:45:00,20770.551499999994,14785.299843037777,22136.5575,16684.685112808605,-19.671439091019753,31.558953420369697,40.0475498613129,1036.1790245656114,33.2086759965375,63 days 17:15:00,178,0.0,102,48.51485148514851,5.6694808482513706,-4.407056571634481,0.7540489232437979,-1.3606418999942815,0 days 05:26:56.326530612,1 days 22:23:04.615384615,0.5881732203153747,-40.46361895021703,-1.192684867695477,-1.9449881516132308,0.9620596197145067,-1.626457326306045,BTCUSDT
Back-Cap-Octopus-orders_ETHUSDT,2023-12-11 00:00:00+00:00,2024-02-15 00:00:00+00:00,66 days 09:45:00,3566.881300000001,3353.5132999999987,5677.3753,5626.177299999999,57.73379674843674,18.30498518745436,7.984313725490195,892.8750931150329,18.827816387297172,32 days 05:30:00,38,0.0,19,73.68421052631578,3.8929247067726056,-1.325169376319376,1.5104232052358744,-1.0983016476062086,0 days 05:41:47.142857142,0 days 15:03:00,5.941749017311609,108.38399999999992,4.407009060043629,60.6989327915485,1.3213973486084594,7.631342879994467,ETHUSDT
Jack-shark-orders_BTCUSDT,2023-11-14 00:00:00+00:00,2024-01-27 00:00:00+00:00,74 days 05:45:00,10342.987900000002,10166.308900000004,27605.272900000004,25604.73189999999,147.55643289498568,15.089045370931897,28.595481969973342,1015.6409864744516,22.77524957922077,33 days 03:30:00,22,0.0,11,81.81818181818183,8.516907635320836,-0.23018094037726952,2.8468341998175886,-0.2301809403772608,3 days 14:46:40,1 days 21:52:30,71.82015777262421,1387.4312727272734,5.08392614806146,379.3474656039707,1.1757214069026924,7.756918590830891,BTCUSDT
Jack-shark-orders_ETHUSDT,2023-12-08 00:00:00+00:00,2023-12-10 00:00:00+00:00,2 days 00:45:00,9883.356,9095.856,9965.676000000007,9304.59599999999,-5.855905625579099,-0.589875362306369,18.461538461538463,1095.2356765542463,8.038284826198078,0 days 23:30:00,2,0.0,1,0.0,-0.5855905625579098,-0.5855905625579098,,-0.5855905625579098,,0 days 09:00:00,0.0,-578.7600000000093,-6.909943404602457,-12.440247672866967,0.7983699707833468,-9.850772267118487,ETHUSDT
HGN_CAPITAL-orders_BTCUSDT,2023-11-06 00:00:00+00:00,2024-02-19 00:00:00+00:00,105 days 07:15:00,3326.284000000001,2973.5591999999997,13147.28060000001,13019.679000000013,291.4181410847663,49.57485311129255,70.26412108022554,1036.048322158846,41.38277925876761,32 days 02:15:00,28,0.0,14,92.85714285714286,8.71624705151398,-3.885947951340802,3.3771322937152854,-3.885947951340802,5 days 14:49:36.923076923,0 days 23:00:00,9.294523595601785,692.3853571428577,3.5224584691836744,274.9850415869225,1.0749504740107452,5.214610376013466,BTCUSDT
Sdosee-Hedge-Fund-orders_BTCUSDT,2023-12-04 00:00:00+00:00,2024-02-21 17:19:52.001000+00:00,80 days 10:00:00,4607.661400000001,4133.520400000001,6675.349400000008,6585.917400000013,42.9340576110912,30.27615379015842,21.321243523316063,1081.5691035238099,21.981116262976197,29 days 06:15:00,136,0.0,69,97.10144927536231,1.2512013635476247,-1.2404417618096595,0.5466534196950844,-1.06112434625137,0 days 19:27:59.104477611,0 days 21:22:30,28.56574932069999,28.67037681159429,2.2488742317744705,18.792274117084382,1.0969453829497344,3.4456942429829285,BTCUSDT
Sdosee-Hedge-Fund-orders_ETHUSDT,2023-12-04 00:00:00+00:00,2024-02-21 14:41:49+00:00,80 days 10:30:00,11412.295300000002,10870.34229999999,14446.901299999989,14390.991299999989,26.100761693399104,37.25955300191781,6.941206941206941,1044.870500536125,12.865378451379156,21 days 13:15:00,138,0.0,69,100.0,1.8658013674817557,0.25619487610247793,0.7136531930900275,,0 days 06:33:28.695652173,,inf,43.16950724637689,3.3723020616827224,14.732198580286388,1.308653706298067,5.4095584626798905,ETHUSDT
