file_symbol,Start,End,Period,Start Value,Min Value,Max Value,End Value,Total Return [%],Benchmark Return [%],Total Time Exposure [%],Capital Weighted Time Exposure [%],Max Gross Exposure [%],Max Drawdown [%],Max Drawdown Duration,Total Orders,Total Fees Paid,Total Trades,Win Rate [%],Max Winning Streak,Max Losing Streak,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,symbol
The-wealth-of-god-orders_ETHUSDT_unlevered,2024-02-09 00:00:00+00:00,2024-03-12 00:00:00+00:00,32 days 01:09:00,25755.147000000004,25745.346000000012,27426.170000000006,26823.606,4.148526117905649,68.10414601915835,6.205984961754318,2.4626211574932495,100.0,2.377597746969418,11 days 12:48:00,68,0.0,34,91.17647058823529,28.0,3.0,2.4244125793748372,-9.11346083118792,1.380717020659832,-6.253956431583769,0 days 08:07:50.322580645,0 days 02:19:20,6.33301555293789,31.425264705882306,5.4160949880101645,24.807957191324704,1.1226124309733732,7.7577121068069745,ETHUSDT
Creative-Bounty-Crow-orders_BTCUSDT,2024-01-22 00:00:00+00:00,2024-03-26 00:00:00+00:00,64 days 12:43:00,117645.45566666662,115863.93406666664,144269.97686666646,138967.8276666663,18.124263176313317,68.05050884105286,33.737610709942636,38.63103943905553,287.06086575531185,12.328005012249935,22 days 00:30:00,774,0.0,384,50.520833333333336,22.0,42.0,5.666600711327589,-5.583248030985508,1.6685377314446734,-1.9626986929518448,0 days 19:21:34.329896907,0 days 23:59:54.631578947,1.7535282982391478,55.5270104166662,2.773346801076335,12.861443748464934,1.027598206880536,3.7418464619633,BTCUSDT
Creative-Bounty-Crow-orders_BTCUSDT_unlevered,2024-01-22 00:00:00+00:00,2024-03-26 00:00:00+00:00,64 days 12:43:00,352936.36699999985,351154.8453999998,379560.8882,374258.73899999954,6.041421058771106,68.05050884104628,33.737610709942636,13.299863710548937,100.0,4.550418740632961,22 days 00:30:00,774,0.0,384,50.520833333333336,22.0,42.0,5.666600711327589,-5.583248030985508,1.6685377314446734,-1.9626986929518448,0 days 19:21:34.329896907,0 days 23:59:54.631578947,1.7535282982391478,55.5270104166662,2.611800029613778,8.7309903853579,1.0263014790049532,3.499915936894434,BTCUSDT
Creative-Bounty-Crow-orders_ETHUSDT,2023-12-21 00:00:00+00:00,2024-03-26 00:00:00+00:00,96 days 09:55:00,305497.6666666667,282793.9666666668,322590.66666666674,306146.95866666664,0.21253582951531474,63.21820793483091,32.86058990888465,26.93666357022818,308.9977030511575,12.336593743154362,94 days 07:47:00,600,0.0,297,47.13804713804714,48.0,21.0,5.730098019261972,-4.1416980554949605,1.50360270256158,-1.3505856168100743,0 days 15:24:34.714285714,0 days 15:25:39.745222929,1.0080592125908119,2.1861683501687708,0.17659825145344954,0.06569741761484058,1.0019307104039559,0.25142619408891653,ETHUSDT
Creative-Bounty-Crow-orders_ETHUSDT_unlevered,2023-12-21 00:00:00+00:00,2024-03-26 00:00:00+00:00,96 days 09:55:00,916493.0,893789.2999999999,933586.0,917142.2919999999,0.07084527650510493,63.218207934833416,32.86058990888465,8.89180515904015,102.43871484432265,4.262778147915679,94 days 07:47:00,600,0.0,297,47.13804713804714,48.0,21.0,5.730098019261972,-4.1416980554949605,1.50360270256158,-1.3505856168100743,0 days 15:24:34.714285714,0 days 15:25:39.745222929,1.0080592125908119,2.1861683501687708,0.07680600099120388,0.06325104315557177,1.0008379802399696,0.1089820618237426,ETHUSDT
SIVASPHERE-CAPITAL-orders_ETHUSDT,2024-02-02 00:00:00+00:00,2024-02-07 00:00:00+00:00,5 days 00:03:00,306.08933333333334,295.46933333333334,336.6773333333333,336.13733333333334,9.81674195332953,2.961478222766223,80.35540746911009,236.95795920924797,307.1885632801148,7.48349872874456,2 days 08:40:00,2,0.0,1,100.0,1.0,0.0,3.2722473177765097,3.2722473177765097,3.2722473177765097,,4 days 00:28:00,,inf,30.048000000000002,8.460311185643082,12411.383916452789,1.0391656609743871,12.126134394049666,ETHUSDT
SIVASPHERE-CAPITAL-orders_ETHUSDT_unlevered,2024-02-02 00:00:00+00:00,2024-02-07 00:00:00+00:00,5 days 00:03:00,918.268,907.648,948.856,948.316,3.2722473177765097,2.9614782227665115,80.35540746911009,79.90797170478943,100.0,2.5656219539948535,2 days 08:40:00,2,0.0,1,100.0,1.0,0.0,3.2722473177765097,3.2722473177765097,3.2722473177765097,,4 days 00:28:00,,inf,30.048000000000002,8.319807179545323,369.7849980371621,1.0385463899833216,11.91975212908774,ETHUSDT
mosrain-orders_BTCUSDT,2024-01-11 00:00:00+00:00,2024-03-26 00:00:00+00:00,75 days 00:27:00,47205.016,46712.974699378,48797.751205350905,48262.135757395976,2.23942251686976,50.10040367602715,95.30302609532802,42.2752154835089,302.9780208834458,1.3094417097632527,70 days 23:10:00,26,0.0,17,56.25,7.0,5.0,8.89562121550388,-1.304286947795849,2.789876958290538,-0.5398268352316231,10 days 12:45:06.666666666,5 days 13:49:08.571428571,3.0361077187922207,66.05088400668387,2.2201842400924647,8.69112101012267,1.1925491464023088,3.7304073995156717,BTCUSDT
mosrain-orders_BTCUSDT_unlevered,2024-01-11 00:00:00+00:00,2024-03-26 00:00:00+00:00,75 days 00:27:00,141615.048,141121.66,143205.02029999997,142669.22,0.7443926439229759,50.10040367602693,0.651688929619447,0.1541192613398706,100.49388547845948,0.4382204766003989,70 days 23:12:00,26,0.0,13,53.84615384615385,6.0,5.0,1.7651214574588607,-1.0116602512725663,1.1676673834228077,-0.4187487358940295,0 days 01:08:00,0 days 00:38:00,3.0272694405341496,81.09015384615422,2.2028460922305695,8.386611606265733,1.1976641496937033,3.6950562901305073,BTCUSDT
mosrain-orders_ETHUSDT,2024-01-14 00:00:00+00:00,2024-03-26 00:00:00+00:00,72 days 00:15:00,33163.07233333334,31520.750123123347,33290.73228587711,32354.165302590387,-2.439180009054496,39.27420261972647,1.2430686146873042,1.296388305386158,303.13304859993,5.12462674374994,70 days 14:16:00,14,0.0,8,57.14285714285714,4.0,3.0,0.4402196751242402,-1.3073823658973402,0.31429752642601366,-0.7036226619082802,0 days 01:26:30,0 days 01:54:40,0.43621965525404827,-103.67703081745204,-0.9675474269075036,-2.296090841287071,0.945518945615123,-1.319444024655761,ETHUSDT
